
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Axuall,,,,,,,,"AboutDeveloped with leading healthcare organizations, Axuall is a workforce intelligence company built on a national real-time Clinician Data Network.We connect health systems, staffing firms, and digital health groups to a vast array of data, providing insights for network planning, analytics, and reporting, while dramatically reducing onboarding and enrollment time via provider-enabled digital credentials.",,,
Akron Pride Custom Tees,,,,,,,,"AboutWe specialize in customization.  We do T-Shirts for all sizes from Infant to Curvy.  Aprons, Facemask, Ornaments, Tote Bags etc..",,,
A Taste of Excellence,,,,,,,,"AboutA Taste of Excellence in NOE's largest premier catering company. Our team is dedicated to helping you execute our clients' visions flawlessly, from selecting the perfect menu to recommending fellow event vendors.",,,
Akron Soul Train,,,,,,,,"AboutArtist residency program connecting and empowering the community and artists by granting fellowships that provide resources for all creative disciplines, thereby fostering a more vibrant downtown.",,,
Alzheimer's Association,,,,,,,,"AboutSince 1980, the Cleveland Area Chapter of the Alzheimer's Association has provided free care and support services to individuals and their families living in cities including Ashtabula, Cleveland, Mentor, Avon, Lorain and beyond.Our purpose is the following: to eliminate Alzheimer's disease through the advancement of research; to provide and enhance care and support for all affected, and to reduce the risk of dementia through the promotion of brain healthThe Alzheimer's Association Info-lin",,,
Azimuth Medical LLC,,,,,,,,"AboutOccupational health, minor care clinic, wellness, lab collections",,,
Adobe Acrobat,,,,,,,,"AboutCreativity is in our DNA. Our game-changing innovations are redefining the possibilities of digital experiences. We connect content and data and introduce new technologies that democratize creativity, shape the next generation of storytelling, and inspire entirely new categories of business.",,,
Akron Pride Festival,,,,,,,,"AboutAkron Pride Festival is an open celebration of music, entertainment and information focused on promoting equality and inclusion of ALL people.",,,
"Bridgestone Americas, Inc.",,,,,,,,,,,
Better Business Bureau,,,,,,,,,,,
BE YOU Brands,463 McCutcheon Rd,Columbus,OH,43230,614-318-1388,scoder@americanbus.com,beyoubrandsolutions.com,"AboutAbout Us – At BE YOU Brands, we are a marketing services provider that is proudly LGBTQ+ owned. Our mission is to empower businesses in amplifying their brands. Our insights and awareness help our clients reach their diverse customer base through creative marketing and branding solutions,In today’s world, companies are challenged to lift their brand to rise above the competitive fray. BE YOU Brands and our team of brand consultants deliver products and services that ensure your brand stands",,2025-11-29,Email
Brewnuts,,,,,,,,,,,
Baldwin Wallace LGBT Center,,,,,,,,"AboutBaldwin Wallace (BW) is committed to the full inclusion of lesbian, gay, bisexual/pansexual, transgender, queer, questioning, intersex, asexual, and ally students, staff, and faculty — a commitment that BW demonstrated when it became the first university in the United States to break with the United Methodist Church after the church voted to enforce policies that exclude LGBTQ+ clergy and parishioners. We are invested in creating a vibrant and inclusive community that recognizes and celebra",,,
"Burten, Bell, Carr Development, Inc.",,,,,,,,"AboutThe mission of Burten, Bell, Carr Development, Inc. is to empower citizens, and revitalize blighted and underserved communities.",,,
Brewnuts,,,,,,,,,,,
Black Transmen of Ohio - BTMOhio,,,,,,,,"AboutBlack Transmen of Ohio, is empowering and being a voice for Trans Masculine Individuals of Color. Our mission is to provide mentorship, community service, resources and assist the fight for equal",,,
B.Riley Sober House,,,,,,,,"AboutA safe, affirming, recovery oriented, temporary living space for members of the LGBTQ+ community and their allies.",,,
blue csr strategies,,,,,,,,"AboutBlue CSR Strategies is an ESG consulting firm providing its clients with expert advice on strategy development & implementation, engagement, communications & disclosure.The firm was founded in 2020 by Andrew Watterson to serve the rapidly growing needs of business, government and non-profit organizations to accelerate progress towards creating positive environmental, social and financial impacts. Blue CSR Strategies understands the power of inclusive engagement, transparency and authentic c",,,
BorderLight Fringe Festival,,,,,,,,"AboutBorderLight’s mission is to present innovative theatre that inspires, builds cross-cultural understanding and celebrates the diversity of the human experience.",,,
Blake’s Brush,,,,,,,,"AboutSpecializing in painting, staining, murals, and deck refinishing! Let's bring your project to life!",,,
BorderLight Fringe Festival,,,,,,,,"AboutBorderLight’s mission is to present innovative theatre that inspires, builds cross-cultural understanding and celebrates the diversity of the human experience.",,,
"Bosco Consulting, LLC",,,,,,,,"AboutGuiding organizations and individuals to align their vision and goals with a highly diverse, productive, and inclusive workplace.Bosco Consulting takes a one-to-one approach to all training and consultation to meet your needs. Your business needs are unique and our services will be tailor-designed based on your strategic goals, people needs, and long-range plans. Here are a few of the ways we can support you: consultation with HR & executives, leadership coaching, strategic planning develop",,,
Berkshire Hathaway HomeServices Professional Realty,,,,,,,,AboutHaving the right real estate agent means having an agent who is committed to helping you buy or sell your home with the highest level of expertise in the local market. This also means to assist you in understanding each step of the buying or selling process. This commitment level has helped me build a remarkable track record of delivering results.Nothing is more exciting to me than the gratifying feeling I get from helping people meet their real estate needs. You can count on me to always d,,,
Birdtown Strength,,,,,,,,,,,
B. Frohman Imaging and Design,,,,,,,,"AboutBased in Chagrin Falls, OH, B. Frohman Imaging + Design is an lgbt owned and operated artistic photography studio specializing in wedding and event photography in addition to jaw-dropping boudoir photography. By using modern, creative, and natural techniques, this meticulous photographer will pay close attention to every beautiful detail. We love to highlight the big moments, small moments, and in-between moments of your wedding day!B. Frohman Imaging + Design is led by passionate storytell",,,
"Bellman & Associates, LLC",1213 Rockside Rd,Cleveland,OH,44134,440-840-7957,info@medicarewithlori.com,medicarewithlori.com,"AboutHR Managers + Benefit Teams:We provide complimentary Medicare Classes for local employers, unions and community organizations to ease your burden by providing accurate and timely Medicare guidance to assist your employees with making educated decisions for their Medicare beenfits.Our services are always free for you and your employees!Contact us to discuss how we can help remove the Medicare questions and education from your plate!Employer + Group Medicare and Retirement SolutionsTurning 65",,2025-11-29,Email
Boss K9,,,,,,,,AboutBoss K9 is a dog training facility specializing in aggression rehabilitation. We also offer puppy training and off-leash training.,,,
Big Creek Massotherapy,,,,,,,,"AboutBig Creek Massotherapy was born in 2016. Our mission is to provide the highest quality of massage services to our guests. Whether you are coming to relax, or you're in need of something more therapeutic in nature, we are here to help. Our staff of professional massage therapists are well trained and licensed by the State Medical Board of OhioWe promise to deliver customized treatments in a safe, caring environment to help you feel better. Everyone is welcome at Big Creek Massotherapy, regar",,,
Baldwin Wallace LGBT Center,,,,,,,,"AboutBaldwin Wallace (BW) is committed to the full inclusion of lesbian, gay, bisexual/pansexual, transgender, queer, questioning, intersex, asexual, and ally students, staff, and faculty — a commitment that BW demonstrated when it became the first university in the United States to break with the United Methodist Church after the church voted to enforce policies that exclude LGBTQ+ clergy and parishioners. We are invested in creating a vibrant and inclusive community that recognizes and celebra",,,
Better Business Bureau,,,,,,,,,,,
Blurred Lines Beauty,,,,,,,,"AboutBlurred Lines Beauty is an anti-aging, regenerative and aesthetic medical practice. At Blurred Lines Beauty, med spa in Canton, OH we specialize in anti-aging by providing the highest quality cosmetic and aesthetic injectables, including Xeomin/Dysport/Jeuveau, Filler, PRP/PRF, and many other services. Our providers at Blurred Lines Beauty also specialize in helping our clients achieve ultimate skin health by utilizing proper medical-grade products and integrating appropriate and evidence-b",,,
Beachland Ballroom,,,,,,,,AboutIndependent Cleveland music venue located in the historic Waterloo Arts district.,,,
Beck Center for the Arts,,,,,,,,"AboutMore than a non-profit organization that combines professional theater with arts education in Northeast Ohio, we create arts experiences for all ages and abilities as individual as the people we serve.Beck Center for the Arts provides over 200 award-winning classes, programs, and lessons. Our comprehensive, curriculum-based arts education spans topics such as creative arts therapies, dance, music, theater, and visual arts, and serves over 60,000 annually in Cuyahoga, Lorain, Lake, Medina, a",,,
Beck Center for the Arts,,,,,,,,"AboutMore than a non-profit organization that combines professional theater with arts education in Northeast Ohio, we create arts experiences for all ages and abilities as individual as the people we serve.Beck Center for the Arts provides over 200 award-winning classes, programs, and lessons. Our comprehensive, curriculum-based arts education spans topics such as creative arts therapies, dance, music, theater, and visual arts, and serves over 60,000 annually in Cuyahoga, Lorain, Lake, Medina, a",,,
B. Frohman Imaging and Design,,,,,,,,"AboutBased in Chagrin Falls, OH, B. Frohman Imaging + Design is an lgbt owned and operated artistic photography studio specializing in wedding and event photography in addition to jaw-dropping boudoir photography. By using modern, creative, and natural techniques, this meticulous photographer will pay close attention to every beautiful detail. We love to highlight the big moments, small moments, and in-between moments of your wedding day!B. Frohman Imaging + Design is led by passionate storytell",,,
BottleHouse Brewing Company,,,,,,,,AboutCommunity centric brewery with locations in Cleveland Heights and Lakewood.  Sister businesses (Craft Collective) in the Van Alen District in Shaker Heights.,,,
Benjamin Rose,,,,,,,,AboutBenjamin Rose serves as a trusted partner in the aging journey for individuals of all backgrounds as well as those who care for them.,,,
"Bridgestone Americas, Inc.",,,,,,,,,,,
Berkshire Hathaway HomeServices Professional Realty - Kacey Yates Gable,,,,,,,,AboutReal Estate Saleswoman - I work with Buyers and Sellers in the Northeast Ohio Region.,,,
Black Transmen of Ohio - BTMOhio,,,,,,,,"AboutBlack Transmen of Ohio, is empowering and being a voice for Trans Masculine Individuals of Color. Our mission is to provide mentorship, community service, resources and assist the fight for equal",,,
blue csr strategies,,,,,,,,"AboutBlue CSR Strategies is an ESG consulting firm providing its clients with expert advice on strategy development & implementation, engagement, communications & disclosure.The firm was founded in 2020 by Andrew Watterson to serve the rapidly growing needs of business, government and non-profit organizations to accelerate progress towards creating positive environmental, social and financial impacts. Blue CSR Strategies understands the power of inclusive engagement, transparency and authentic c",,,
Boss K9,,,,,,,,AboutBoss K9 is a dog training facility specializing in aggression rehabilitation. We also offer puppy training and off-leash training.,,,
Benjamin Rose,,,,,,,,AboutBenjamin Rose serves as a trusted partner in the aging journey for individuals of all backgrounds as well as those who care for them.,,,
B.Riley Sober House,,,,,,,,"AboutA safe, affirming, recovery oriented, temporary living space for members of the LGBTQ+ community and their allies.",,,
Berkshire Hathaway HomeServices Professional Realty,,,,,,,,AboutHaving the right real estate agent means having an agent who is committed to helping you buy or sell your home with the highest level of expertise in the local market. This also means to assist you in understanding each step of the buying or selling process. This commitment level has helped me build a remarkable track record of delivering results.Nothing is more exciting to me than the gratifying feeling I get from helping people meet their real estate needs. You can count on me to always d,,,
Birdtown Strength,,,,,,,,,,,
Bamboo Birth,,,,,,,,"AboutKristen is an inclusive birth doula, postpartum doula, and lactation counselor. She provides guidance, reassurance, and education around childbirth and feeding.",,,
Blurred Lines Beauty,,,,,,,,"AboutBlurred Lines Beauty is an anti-aging, regenerative and aesthetic medical practice. At Blurred Lines Beauty, med spa in Canton, OH we specialize in anti-aging by providing the highest quality cosmetic and aesthetic injectables, including Xeomin/Dysport/Jeuveau, Filler, PRP/PRF, and many other services. Our providers at Blurred Lines Beauty also specialize in helping our clients achieve ultimate skin health by utilizing proper medical-grade products and integrating appropriate and evidence-b",,,
BottleHouse Brewing Company,,,,,,,,AboutCommunity centric brewery with locations in Cleveland Heights and Lakewood.  Sister businesses (Craft Collective) in the Van Alen District in Shaker Heights.,,,
"Burten, Bell, Carr Development, Inc.",,,,,,,,"AboutThe mission of Burten, Bell, Carr Development, Inc. is to empower citizens, and revitalize blighted and underserved communities.",,,
Big Creek Massotherapy,,,,,,,,"AboutBig Creek Massotherapy was born in 2016. Our mission is to provide the highest quality of massage services to our guests. Whether you are coming to relax, or you're in need of something more therapeutic in nature, we are here to help. Our staff of professional massage therapists are well trained and licensed by the State Medical Board of OhioWe promise to deliver customized treatments in a safe, caring environment to help you feel better. Everyone is welcome at Big Creek Massotherapy, regar",,,
Bamboo Birth,,,,,,,,"AboutKristen is an inclusive birth doula, postpartum doula, and lactation counselor. She provides guidance, reassurance, and education around childbirth and feeding.",,,
BE YOU Brands,463 McCutcheon Rd,Columbus,OH,43230,614-318-1388,scoder@americanbus.com,beyoubrandsolutions.com,"AboutAbout Us – At BE YOU Brands, we are a marketing services provider that is proudly LGBTQ+ owned. Our mission is to empower businesses in amplifying their brands. Our insights and awareness help our clients reach their diverse customer base through creative marketing and branding solutions,In today’s world, companies are challenged to lift their brand to rise above the competitive fray. BE YOU Brands and our team of brand consultants deliver products and services that ensure your brand stands",,2025-11-29,Email
Beachland Ballroom,,,,,,,,AboutIndependent Cleveland music venue located in the historic Waterloo Arts district.,,,
"Bellman & Associates, LLC",1213 Rockside Rd,Cleveland,OH,44134,440-840-7957,info@medicarewithlori.com,medicarewithlori.com,"AboutHR Managers + Benefit Teams:We provide complimentary Medicare Classes for local employers, unions and community organizations to ease your burden by providing accurate and timely Medicare guidance to assist your employees with making educated decisions for their Medicare beenfits.Our services are always free for you and your employees!Contact us to discuss how we can help remove the Medicare questions and education from your plate!Employer + Group Medicare and Retirement SolutionsTurning 65",,2025-11-29,Email
"Carve Your Own Path, Inc.",,,,,,,,"AboutCarve Your Own Path (CYOP Inc.) is a compassionate, inclusive, and affirming mental health and wellness organization dedicated to empowering marginalized communities, particularly LGBTQIA+ individuals and people navigating life transitions .We move beyond traditional, one-size-fits-all therapy to offer holistic, outside-the-box care, ensuring every client feels seen, valued, and supported. Our services include individualized private-pay therapy, community wellness programs like yoga and sou",,,
Case Western Reserve University LBGT Center,,,,,,,,"AboutThe Lesbian Gay Bisexual Transgender Center exemplifies Case Western Reserve University’s commitment to serving its diverse student, staff, faculty, and alumni. The LGBT Center’s vision is to foster an empowering, loving, and equitable environment for our multifaceted community to thrive within CWRU. The LGBT Center’s mission is to provide support and advocacy to LGBT individuals within CWRU and provides a haven to those who are seeking solidarity and community. We educate the campus commun",,,
CH Porter Consulting LLC,,,,,,,,AboutSmall Business consulting firm specializing in workforce development through streamlined HR functions ensuring personalized growth.,,,
Clean Eatz - Cuyahoga Falls,,,,,,,,,,,
Cleveland Sex Therapy,,,,,,,,"AboutMy mission is simple: I want to nurture sex positivity and inclusivity amongst all my clients. We live in a world where sex negativity is rampant. If you do not prescribe to monogamy and are not heterosexual, you can feel this immense pressure to conform to ideologies you do not agree with in this world. I am here to help.Shame is a parasite. It latches onto us, drains us, reprograms us, and lives in the shadows of our souls waiting for its next moment to attack. Luckily, we all have the an",,,
Candid,,,,,,brian.schultz@candid.org,,AboutCandid helps change the world by giving people the information they need to do good.,,,
"Catharsis Counseling CLE, LLC",,,,,,,,"AboutCatharsis Counseling CLE wants to help you create balance, peace, and healthier, more fulfilling relationships in your life. While this process can be challenging, filled with doubt and uncertainty, it can also be an opportunity for growth. You can change the way you handle life's challenges and improve the relationships that matter most to you. We are here to help! We enjoy challenging current ways of thinking to move you forward, towards your goals. Let us support you in taking those firs",,,
Conservancy for Cuyahoga Valley National Park,,,,,,,,"AboutThe Conservancy’s mission is to enrich lives and our communities by inspiring use, appreciation, and support of Cuyahoga Valley National Park and ensure its preservation.",,,
Cuyahoga Community College,,,,,,,,"AboutFounded in 1963 as Ohio’s first and largest community college, Tri-C has provided high-quality, affordable education and programs to more than 1 million community members.",,,
CPR Trends,,,,,,,,AboutBLS CPR/First Aid taught by experienced nurse. Certified through the American Heart Association and Red Cross. Office accommodates 20 ppl or can travel for parties of 10+. Same day certification!,,,
County of Summit Executive's Office,,,,,,,,"AboutProud of our history, but focused on the future, Summit County is progressive, inclusive, and full of the creative drive necessary to succeed in a modern world. Our community is defined by the character of our people, by their warmth, openness, compassion, and vision for making Summit County the best place to live, work, start a business, and grow. We invite you to join them and move forward with us.",,,
City of Akron,,,,,,,,,,,
Cleveland SHRM,,,,,,,,"AboutJackie ValekAdmin Director, Cleveland SHRMVoicemail: 440-462-0432, Ohio",,,
Cloak & Dagger,,,,,,,,AboutA cocktail lounge with focus on hospitality and craft located next to Lincoln Park in the historic Tremont neighborhood of Cleveland.,,,
Call Management Resources,,,,,,,,About27/7/365 US Based Inbound Commercial and Medical Telephone Call Center.,,,
CANAPI,,,,,,,,"AboutCANAPI's mission is to serve and promote the well-being of the Lesbian, Gay, Bisexual, Transgender, and Questioning (LGBTQ+) community and persons at risk and/or affected by HIV through education, support services, quality housing, and advocacy.CANAPI's vision is to empower an inclusive community through education, awareness, and outreach while eliminating stigma and HIV transmission.",,,
Cleveland Sex & Intimacy Counseling,,,,,,,,"AboutCleveland Sex & Intimacy Counseling began in 2020 out of years of training and interest in sexuality, relationships, intimacy, and identities. We pride ourselves in addressing these areas through a sex-positive and intersectional approach. We recognize that all relationships affect people and all types of intimacy (including intimacy with yourself) are important to cultivate. We provide individual, partner, and family sessions. We also offer intensive 4-hour sessions for couples tight on ti",,,
Cook Insurance Group,,,,,,,,"AboutIndependent insurance agency serving individuals and businesses in Northeastern Ohio for over 60 years. We provide all forms of insurance for businesses, personal, home, auto, classic car, life, motorcycle",,,
Cleveland Votes,,,,,,,,"AboutCleveland VOTES is a year-round, statewide, nonpartisan 501(c)(3) voter mobilization initiative. It galvanizes nonprofits based in low income Ohio communities to increase voter participation and join efforts for fair elections. It builds on the relationships these nonprofits already have with the people they serve.Unlike other groups who show up only during the election season, our network of housing providers, nonprofit health centers, multi-service centers, food pantries, community action",,,
Cleveland Sex & Intimacy Counseling,,,,,,,,"AboutCleveland Sex & Intimacy Counseling began in 2020 out of years of training and interest in sexuality, relationships, intimacy, and identities. We pride ourselves in addressing these areas through a sex-positive and intersectional approach. We recognize that all relationships affect people and all types of intimacy (including intimacy with yourself) are important to cultivate. We provide individual, partner, and family sessions. We also offer intensive 4-hour sessions for couples tight on ti",,,
Crack Corn Ltd.,,,,,,,,"AboutPuffy Pop is ultra-premium puff corn. It's kind of like popcorn, but WAY BETTER!No kernels. No hulls. So it's EASY TO EAT!Puffy Pop is known for its flavors and ultra-premium ingredients.",,,
Cleveland Massotherapy,,,,,,,,"AboutOur Cleveland massage studio specializes in Queer Reproductive Health, fertility support, ancient healing techniques + Indigenous medicine, as well as many other holistic wellness services. We also help clients with reducing stress, eliminating headaches, relieving shoulder tension, addressing neck issues, and recovering from back pain.Our Mission Is To Promote A Safe Space Prioritizing Queer, Trans, Gender Non- Conforming, Non-Binary, & Other Gender Diverse Folx—Helping You Honor & Reconne",,,
Camp Lilac,,,,,,,,"AboutOur mission is to provide a safe, welcoming space for transgender and gender diverse youth to be themselves in a positive, supportive, youth-focused environment.",,,
Candid,,,,,,brian.schultz@candid.org,,AboutCandid helps change the world by giving people the information they need to do good.,,,
Case Western Reserve University LBGT Center,,,,,,,,"AboutThe Lesbian Gay Bisexual Transgender Center exemplifies Case Western Reserve University’s commitment to serving its diverse student, staff, faculty, and alumni. The LGBT Center’s vision is to foster an empowering, loving, and equitable environment for our multifaceted community to thrive within CWRU. The LGBT Center’s mission is to provide support and advocacy to LGBT individuals within CWRU and provides a haven to those who are seeking solidarity and community. We educate the campus commun",,,
Cuyahoga County Board of Developmental Disabilities,,,,,,,,"AboutAt the Cuyahoga County Board of DD, we recognize that dedicated employees are our greatest resource. Our employees play a key role in supporting and empowering people with developmental disabilities of all ages to live, learn, work and play in the community and live the lives they desire. In 1967, the diverse community leaders who founded the Cuyahoga County Board of DD crossed cultural, religious and economic boundaries to make a difference through collective action. Today, diversity and i",,,
